title,subtitle,link,cover_image_url,publisher,scrape_date
Bulletin du bibliophile,Éditions du Cercle de la Librairie,https://shs.cairn.info/revue-bulletin-du-bibliophile?lang=fr,https://shs.cairn.info/numero/BUBIB_379/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:53.695804
Histoire de la justice,Association Française pour l'Histoire de la Justice,https://droit.cairn.info/revue-histoire-de-la-justice?lang=fr,https://shs.cairn.info/numero/RHJ_013/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:55.839765
Lapsus,Érès,https://shs.cairn.info/revue-lapsus?lang=fr,https://shs.cairn.info/numero/LAPS_003/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:15:58.561355
Décisions Marketing,EMS Editions,https://shs.cairn.info/revue-decisions-marketing?lang=fr,https://shs.cairn.info/numero/DM_115/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:02.011462
Cahiers Pierre Michon,Presses universitaires de Rennes,https://shs.cairn.info/revue-cahiers-pierre-michon?lang=fr,https://shs.cairn.info/numero/CPM_002/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:04.638895
Légipresse,Dalloz,https://droit.cairn.info/revue-legipresse?lang=fr,https://shs.cairn.info/numero/LEGIP_HS70/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:08.133987
Management & Avenir - PedagogiA,Management Prospective Editions,https://shs.cairn.info/revue-pedagogia?lang=fr,https://shs.cairn.info/numero/PEDA_002/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:11.440409
L'information psychiatrique,JLE Editions,https://stm.cairn.info/revue-l-information-psychiatrique?lang=fr,https://shs.cairn.info/numero/INPSY_10008/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:14.922378
Journal du Droit de la Santé et de l’Assurance - Maladie (JDSAM),"L’Institut Droit et Santé, de l’université de Paris Cité",https://droit.cairn.info/revue-journal-du-droit-de-la-sante-et-de-l-assurance-maladie?lang=fr,https://shs.cairn.info/numero/JDSAM_HS1/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:18.380463
Les Cahiers du Musée national d’art moderne,Éditions du Centre Pompidou,https://shs.cairn.info/revue-les-cahiers-du-musee-national-d-art-moderne?lang=fr,https://shs.cairn.info/numero/MNAM_165/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:20.383354
Santé mentale au Québec,Santé mentale au Québec,https://shs.cairn.info/revue-sante-mentale-au-quebec?lang=fr,https://shs.cairn.info/numero/SMQ_491/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:23.007938
Céreq Essentiels,Céreq,https://shs.cairn.info/revue-cereq-essentiels?lang=fr,https://shs.cairn.info/numero/ESSE_005/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:24.872334
Études françaises de renseignement et de cyber,Presses Universitaires de France,https://shs.cairn.info/revue-etudes-francaises-de-renseignement-et-de-cyber?lang=fr,https://shs.cairn.info/numero/EFRC_242/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:27.434818
The Irenaut,The Irenaut,https://shs.cairn.info/revue-the-irenaut?lang=fr,https://shs.cairn.info/numero/IREN_003/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:29.396642
Suds,Presses universitaires de Bordeaux,https://shs.cairn.info/revue-suds?lang=fr,https://shs.cairn.info/numero/SUDS_288/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:32.388064
Documentation et bibliothèques,Éditions ASTED,https://shs.cairn.info/revue-documentation-et-bibliotheques?lang=fr,https://shs.cairn.info/numero/DOBI_703/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:35.710756
Action publique. Recherche et pratiques,Institut de la gestion publique et du développement économique (IGPDE),https://shs.cairn.info/revue-action-publique-recherche-et-pratiques?lang=fr,https://shs.cairn.info/numero/APRP_021/cover/thumbnail?lang=fr,"Revue
    
            
            
            
    Suivre",2024-11-01T20:16:38.696453
